Souhrn Vá Ð äkoly, fakulty, studenti a absolventi (fyzickŽ osoby) Ð podle zÞizovatele, vysokŽ äkoly aÊfakulty;;;;;;;;;;;;;;;;;
k 31.12.;;;;;;;;;;;;;;;;;
stav SIMSu k 23.1.2023;;;;;;;;;;;;;;;;;
"ZÞizovatel
Vysok‡Êäkola
Fakulta";;;;;;Studenti (fyzickŽ osoby)  ve väech form‡ch studia a typech studijn’ch programó;;;;;;;;;;;
;;;;;;"studuj’c’
celkem";"z toho
ìeny";st‡tn’ ob‹anstv’ ‰R;;;cizinci;;;"studenti
s pÞeruäenùmi
studii";"jino-
pl‡tci3";"samo-
pl‡tci3)";
;;;;;;;;"studuj’c’
celkem";"poprvŽ
zapsan’
1)";"absol-
venti2)";"studuj’c’
celkem";"poprvŽ
zapsa-
n’1)";"absol-
venti2)";;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;13410;;Filozofick‡ fakulta;;;862 ;495 ;815 ;134 ;81 ;47 ;20 ;2 ;81 ;Ð ;1 ;
;13420;;Fakulta strojn’ho inìenùrstv’;;;492 ;45 ;459 ;79 ;59 ;33 ;26 ;Ð ;28 ;Ð ;Ð ;
;13430;;Pedagogick‡ fakulta;;;2 654 ;2 069 ;2 638 ;427 ;442 ;16 ;4 ;7 ;179 ;Ð ;Ð ;
;13440;;PÞ’rodovždeck‡ fakulta;;;1 015 ;449 ;943 ;246 ;125 ;72 ;41 ;3 ;33 ;Ð ;Ð ;
;13450;;Fakulta zdravotnickùch studi’;;;988 ;797 ;934 ;228 ;164 ;54 ;16 ;4 ;29 ;Ð ;Ð ;
;13510;;Fakulta soci‡lnž ekonomick‡;;;1 216 ;860 ;1 183 ;271 ;175 ;33 ;8 ;1 ;31 ;Ð ;Ð ;
;13520;;Fakulta ìivotn’ho prostÞed’;;;308 ;160 ;291 ;64 ;42 ;17 ;5 ;Ð ;16 ;Ð ;Ð ;
;13530;;Fakulta umžn’ a designu;;;370 ;247 ;295 ;41 ;70 ;75 ;16 ;12 ;16 ;Ð ;Ð ;
;14000;;Masarykova univerzita;;;32 335 ;20 089 ;24 350 ;4 312 ;5 214 ;7 985 ;1 757 ;1 520 ;1 934 ;Ð ;1 570 ;
;14110;;LŽkaÞsk‡ fakulta;;;4 613 ;3 094 ;2 636 ;408 ;478 ;1 977 ;397 ;244 ;148 ;Ð ;825 ;
;14160;;Farmaceutick‡ falulta;;;747 ;613 ;527 ;75 ;99 ;220 ;33 ;32 ;38 ;Ð ;34 ;
;14210;;Filozofick‡ fakulta;;;6 184 ;4 472 ;4 879 ;707 ;986 ;1 305 ;275 ;251 ;401 ;Ð ;74 ;
;14220;;Pr‡vnick‡ fakulta;;;3 127 ;1 657 ;2 948 ;522 ;511 ;179 ;67 ;18 ;291 ;Ð ;1 ;
;14230;;Fakulta soci‡ln’ch studi’;;;3 222 ;2 096 ;2 305 ;370 ;558 ;917 ;211 ;196 ;193 ;Ð ;387 ;
;14310;;PÞ’rodovždeck‡ fakulta;;;3 439 ;2 034 ;2 482 ;548 ;629 ;957 ;184 ;219 ;160 ;Ð ;12 ;
;14330;;Fakulta informatiky;;;2 197 ;390 ;980 ;208 ;191 ;1 217 ;318 ;253 ;55 ;Ð ;36 ;
;14410;;Pedagogick‡ fakulta;;;5 063 ;4 116 ;4 834 ;854 ;988 ;229 ;51 ;35 ;409 ;Ð ;45 ;
;14510;;Fakulta sportovn’ch studi’;;;1 520 ;624 ;1 369 ;298 ;302 ;151 ;46 ;27 ;122 ;Ð ;Ð ;
;14560;;Ekonomicko-spr‡vn’ fakulta;;;2 704 ;1 299 ;1 824 ;339 ;482 ;880 ;175 ;247 ;126 ;Ð ;158 ;
;15000;;Univerzita PalackŽho v Olomouci;;;22 716 ;15 644 ;20 075 ;3 000 ;3 617 ;2 641 ;505 ;386 ;577 ;Ð ;528 ;
;15110;;LŽkaÞsk‡ fakulta;;;2 435 ;1 527 ;1 379 ;124 ;194 ;1 056 ;180 ;145 ;47 ;Ð ;291 ;
;15120;;Fakulta zdravotnickùch vžd;;;1 092 ;905 ;992 ;175 ;281 ;100 ;30 ;24 ;33 ;Ð ;19 ;
;15210;;Filozofick‡ fakulta;;;5 262 ;3 791 ;4 641 ;736 ;842 ;621 ;135 ;89 ;166 ;Ð ;45 ;
;15220;;Pr‡vnick‡ fakulta;;;1 659 ;980 ;1 595 ;295 ;184 ;64 ;2 ;7 ;35 ;Ð ;28 ;
;15260;;Cyrilometodžjsk‡ teologick‡ fakulta;;;1 499 ;1 062 ;1 392 ;199 ;130 ;107 ;23 ;3 ;57 ;Ð ;Ð ;
;15310;;PÞ’rodovždeck‡ fakulta;;;3 726 ;2 051 ;3 198 ;614 ;602 ;528 ;118 ;95 ;62 ;Ð ;116 ;
;15410;;Pedagogick‡ fakulta;;;5 428 ;4 607 ;5 317 ;618 ;1 037 ;111 ;7 ;10 ;146 ;Ð ;28 ;
;15510;;Fakulta tžlesnŽ kultury;;;1 753 ;828 ;1 693 ;244 ;349 ;60 ;10 ;13 ;31 ;Ð ;1 ;
;16000;;Veterin‡rn’ univerzita  Brno;;;1 965 ;1 659 ;1 454 ;290 ;223 ;511 ;166 ;70 ;62 ;Ð ;209 ;
;16170;;Fakulta veterin‡rn’ho lŽkaÞstv’;;;1 094 ;924 ;698 ;128 ;70 ;396 ;123 ;56 ;34 ;Ð ;176 ;
;16270;;Fakulta veterin‡rn’ hygieny a ekologie;;;873 ;737 ;758 ;162 ;153 ;115 ;43 ;14 ;28 ;Ð ;33 ;
;17000;;Ostravsk‡ univerzita;;;8 962 ;6 240 ;7 999 ;1 553 ;1 543 ;963 ;285 ;166 ;335 ;Ð ;298 ;
;17110;;LŽkaÞsk‡ fakulta;;;1 910 ;1 352 ;1 464 ;262 ;267 ;446 ;143 ;109 ;68 ;Ð ;265 ;
;17200;;Fakulta soci‡ln’ch studi’;;;716 ;637 ;706 ;89 ;160 ;10 ;Ð ;1 ;46 ;Ð ;2 ;
;17250;;Filozofick‡ fakulta;;;1 735 ;1 280 ;1 553 ;386 ;270 ;182 ;48 ;21 ;23 ;Ð ;10 ;
;17310;;PÞ’rodovždeck‡ fakulta;;;1 451 ;696 ;1 333 ;293 ;219 ;118 ;35 ;12 ;45 ;Ð ;21 ;
;17450;;Pedagogick‡ fakulta;;;2 671 ;1 931 ;2 625 ;456 ;550 ;46 ;21 ;2 ;132 ;Ð ;Ð ;
;17500;;Fakulta umžn’;;;512 ;371 ;349 ;67 ;79 ;163 ;38 ;21 ;22 ;Ð ;Ð ;
;18000;;Univerzita  Hradec Kr‡lovŽ;;;6 193 ;3 938 ;6 005 ;1 169 ;1 180 ;188 ;54 ;30 ;234 ;Ð ;36 ;
;18440;;Pedagogick‡ fakulta;;;2 886 ;2 384 ;2 857 ;519 ;558 ;29 ;9 ;11 ;126 ;Ð ;1 ;
;18450;;Fakulta informatiky a managementu;;;1 565 ;459 ;1 474 ;333 ;285 ;91 ;34 ;10 ;42 ;Ð ;9 ;
;18460;;Filozofick‡ fakulta;;;1 127 ;663 ;1 082 ;203 ;154 ;45 ;5 ;8 ;39 ;Ð ;22 ;
;18470;;PÞ’rodovždeck‡ fakulta;;;593 ;408 ;569 ;114 ;127 ;24 ;6 ;1 ;18 ;Ð ;4 ;
;18900;;celoäkolsk‡ pracoviätž;;;40 ;37 ;40 ;Ð ;56 ;Ð ;Ð ;Ð ;9 ;Ð ;Ð ;
;19000;;Slezsk‡ univerzita v Opavž;;;5 173 ;3 282 ;4 840 ;1 137 ;784 ;333 ;62 ;44 ;127 ;Ð ;55 ;
;19240;;Filozoficko-pÞ’rodovždeck‡ fakulta;;;1 336 ;749 ;1 181 ;244 ;164 ;155 ;28 ;14 ;61 ;Ð ;1 ;
;19510;;Fakulta veÞejnùch politik v Opavž;;;1 306 ;1 080 ;1 294 ;318 ;299 ;12 ;6 ;Ð ;43 ;Ð ;Ð ;
;19520;;Obchodnž podnikatelsk‡ fakulta v KarvinŽ;;;2 265 ;1 321 ;2 119 ;531 ;316 ;146 ;26 ;29 ;23 ;Ð ;54 ;
;19900;;celoäkolsk‡ pracoviätž;;;287 ;145 ;267 ;44 ;6 ;20 ;2 ;1 ;Ð ;Ð ;Ð ;
;21000;;‰eskŽ vysokŽ u‹en’ technickŽ  v Praze;;;17 268 ;5 388 ;14 025 ;2 828 ;3 253 ;3 243 ;850 ;577 ;392 ;Ð ;384 ;
;21110;;Fakulta stavebn’;;;3 309 ;1 292 ;2 908 ;621 ;691 ;401 ;88 ;103 ;50 ;Ð ;16 ;
;21220;;Fakulta strojn’;;;1 867 ;161 ;1 653 ;240 ;513 ;214 ;37 ;73 ;68 ;Ð ;74 ;
;21230;;Fakulta elektrotechnick‡;;;2 809 ;417 ;2 140 ;377 ;496 ;669 ;135 ;129 ;90 ;Ð ;91 ;
;21240;;Fakulta informa‹n’ch technologi’;;;2 502 ;335 ;1 745 ;540 ;291 ;757 ;281 ;98 ;36 ;Ð ;122 ;
;21260;;Fakulta dopravn’;;;1 032 ;214 ;832 ;179 ;196 ;200 ;40 ;32 ;22 ;Ð ;20 ;
;21340;;Fakulta jadern‡ a fyzik‡lnž inìenùrsk‡;;;1 363 ;420 ;1 027 ;202 ;173 ;336 ;121 ;24 ;20 ;Ð ;10 ;
;21450;;Fakulta architektury;;;1 648 ;1 012 ;1 217 ;228 ;295 ;431 ;91 ;75 ;37 ;Ð ;17 ;
;21460;;Fakulta biomedic’nskŽho inìenùrstv’;;;1 777 ;1 068 ;1 649 ;246 ;356 ;128 ;28 ;26 ;53 ;Ð ;21 ;
;21900;;celoäkolsk‡ pracoviätž;;;991 ;480 ;882 ;196 ;244 ;109 ;29 ;17 ;16 ;Ð ;13 ;
;22000;;Vysok‡ äkola chemicko-technologick‡  v Praze;;;4 074 ;2 319 ;3 087 ;819 ;732 ;987 ;341 ;170 ;111 ;32 ;149 ;
;22310;;Fakulta chemickŽ technologie;;;1 094 ;593 ;859 ;216 ;205 ;235 ;75 ;47 ;16 ;1 ;13 ;
